,pheonology_date
0,108.0
1,107.0
2,99.0
3,106.0
4,109.0
5,105.0
6,109.0
7,113.0
8,112.0
9,111.0
10,113.0
11,113.0
12,109.0
13,115.0
14,116.0
15,113.0
16,102.0
17,101.0
18,101.0
19,119.0
20,118.0
21,116.0
22,73.0
23,65.0
24,69.0
25,78.0
26,86.0
27,64.0
28,74.0
29,63.0
30,77.0
31,73.0
32,69.0
33,73.0
34,80.0
35,79.0
36,72.0
37,76.0
38,73.0
39,92.0
40,82.0
41,81.0
42,90.0
43,88.0
44,81.0
45,88.0
46,83.0
47,91.0
48,82.0
49,82.0
50,87.0
51,86.0
52,80.0
53,89.0
54,81.0
55,104.0
56,95.0
57,92.0
58,102.0
59,96.0
60,91.0
61,97.0
62,92.0
63,93.0
64,86.0
65,86.0
66,93.0
67,88.0
68,84.0
69,88.0
70,86.0
71,81.0
72,70.0
73,66.0
74,85.0
75,77.0
76,67.0
77,78.0
78,68.0
79,84.0
80,64.0
81,56.0
82,59.0
83,79.0
84,69.0
85,52.0
86,69.0
87,36.0
88,77.0
89,65.0
90,53.0
91,60.0
92,74.0
93,69.0
94,53.5
95,67.0
96,48.0
97,73.0
98,67.0
99,67.0
100,64.0
101,73.0
102,72.0
103,64.0
104,69.0
105,62.0
106,77.0
107,75.0
108,75.0
109,77.0
110,80.0
111,76.0
112,46.0
113,70.0
114,46.0
115,87.0
116,82.0
117,79.0
118,77.0
119,87.0
120,82.0
121,76.0
122,79.0
123,74.0
124,86.0
125,77.0
126,81.0
127,79.0
128,86.0
129,81.0
130,75.0
131,79.0
132,74.0
133,69.0
134,64.0
135,66.0
136,64.0
137,76.0
138,66.0
139,56.0
140,59.0
141,47.0
142,70.0
143,57.0
144,56.0
145,57.0
146,70.0
147,60.0
148,46.0
149,58.0
150,39.0
